song,artist
Song of the Violin,James Otto
I'd Love You All Over Again,Alan Jackson
Wedding Day at Troldhaugen,Edvard Grieg
After All These Years,Journey
The Rest of Our Life,Tim McGraw & Faith Hill
Three Times A Lady,Commodores
I Keep On Lovin' You,Reba McEntire
Anniversary Song,Al Jolson
