song,artist
Rollin' With My Homies,Coolio
Tenderness,General Public
All By Myself,Eric Carmen
My Iron Lung,Radiohead
Alright,Supergrass
Shoop,Salt-N-Pepa
Fashion,David Bowie
Kids In America,Kim Wilde
Shake Some Action,Flamin' Groovies
Girls Just Want To Have Fun,Cyndi Lauper
All The Young Dudes,Mott the Hoople
Fake Plastic Trees,Radiohead
Just A Girl,No Doubt
The Ghost in You,The Psychedelic Furs
Supermodel,Jill Sobule
